station,stationLabel,image
http://www.wikidata.org/entity/Q53401,Poznań Antoninek,http://commons.wikimedia.org/wiki/Special:FilePath/Stacja%20kolejowa%20Pozna%C5%84%20Antoninek.jpg
http://www.wikidata.org/entity/Q53416,Poznań Junikowo,http://commons.wikimedia.org/wiki/Special:FilePath/Poznan%20Junikowo.jpg
http://www.wikidata.org/entity/Q53419,Kiekrz,http://commons.wikimedia.org/wiki/Special:FilePath/PKP%20Kiekrz%20budynek.jpg
http://www.wikidata.org/entity/Q53425,Poznań Starołęka,http://commons.wikimedia.org/wiki/Special:FilePath/Stacja%20Pozna%C5%84-Staro%C5%82%C4%99ka%20RB1.JPG
http://www.wikidata.org/entity/Q53426,Poznań Strzeszyn,http://commons.wikimedia.org/wiki/Special:FilePath/Poznan%20Strzeszyn%20rail%20station.JPG
http://www.wikidata.org/entity/Q53427,Poznań Wola,http://commons.wikimedia.org/wiki/Special:FilePath/Pozna%C5%84%20Wola.jpg
http://www.wikidata.org/entity/Q53428,Poznań Wschód,http://commons.wikimedia.org/wiki/Special:FilePath/Pozna%C5%84%20Wsch%C3%B3d%20%28dworzec%20PKP%29.jpg
http://www.wikidata.org/entity/Q54257,Geomam Station,http://commons.wikimedia.org/wiki/Special:FilePath/Q54257%20Geomam%20A04.JPG
http://www.wikidata.org/entity/Q54261,Gyeyang Station,http://commons.wikimedia.org/wiki/Special:FilePath/%EA%B3%84%EC%96%91%EC%97%AD.JPG
http://www.wikidata.org/entity/Q54261,Gyeyang Station,http://commons.wikimedia.org/wiki/Special:FilePath/AREX%20gyeyang%20station%20platform.jpg
http://www.wikidata.org/entity/Q54261,Gyeyang Station,http://commons.wikimedia.org/wiki/Special:FilePath/Incheon-Rapid-Transit-1-Gyeyang-station-platform.jpg
http://www.wikidata.org/entity/Q54265,Digital Media City Station,http://commons.wikimedia.org/wiki/Special:FilePath/AREX-DMC%20Stn-gate.jpg
http://www.wikidata.org/entity/Q54265,Digital Media City Station,http://commons.wikimedia.org/wiki/Special:FilePath/Korail-K316-Digital-media-city-station-entrance-6-20191023-090732.jpg
http://www.wikidata.org/entity/Q54267,Hongik University Station,http://commons.wikimedia.org/wiki/Special:FilePath/Hongik-university-station-entrance-9-20181121-083316.jpg
http://www.wikidata.org/entity/Q54282,Cheonan-Asan Station,http://commons.wikimedia.org/wiki/Special:FilePath/Cheonan%20Asan%20Station%20sign.jpg
http://www.wikidata.org/entity/Q54285,Osong Station,http://commons.wikimedia.org/wiki/Special:FilePath/Osong%20Station%20North.jpg
http://www.wikidata.org/entity/Q54286,Gimcheon Station,http://commons.wikimedia.org/wiki/Special:FilePath/Gimcheon%20station.JPG
http://www.wikidata.org/entity/Q54288,Dongdaegu Station,http://commons.wikimedia.org/wiki/Special:FilePath/Dongdaegu%20front3.jpg
http://www.wikidata.org/entity/Q54293,Seodaejeon Station,http://commons.wikimedia.org/wiki/Special:FilePath/Seodaejeon%20Station.jpg
http://www.wikidata.org/entity/Q54294,Gyeongju Station,http://commons.wikimedia.org/wiki/Special:FilePath/Q54294%20Singyeongju%20A01.jpg
http://www.wikidata.org/entity/Q54295,Ulsan Station,http://commons.wikimedia.org/wiki/Special:FilePath/Ulsan%20Station%2020221125%20002.jpg
http://www.wikidata.org/entity/Q54299,Geumcheon-gu Office Station,http://commons.wikimedia.org/wiki/Special:FilePath/KTX%20and%20metro%20in%20Siheung%20Station.JPG
http://www.wikidata.org/entity/Q54302,Uiwang Station,http://commons.wikimedia.org/wiki/Special:FilePath/Q54302%20Uiwang%20A01.jpg
http://www.wikidata.org/entity/Q54303,Geumjeong Station,http://commons.wikimedia.org/wiki/Special:FilePath/Korail-P149-443-Geumjeong-station-platform-20181127-095536.jpg
http://www.wikidata.org/entity/Q54305,Hwaseo station,http://commons.wikimedia.org/wiki/Special:FilePath/Hwaseo%20Station%20-%20Front.JPG
http://www.wikidata.org/entity/Q54306,Suwon Station,http://commons.wikimedia.org/wiki/Special:FilePath/Suwon%20Station.jpg
http://www.wikidata.org/entity/Q54308,Seryu Station,http://commons.wikimedia.org/wiki/Special:FilePath/Seryu%20Station%20181104.jpg
http://www.wikidata.org/entity/Q54309,Byeongjeom Station,http://commons.wikimedia.org/wiki/Special:FilePath/Byeongjeomsta.jpg
http://www.wikidata.org/entity/Q54310,Seodongtan Station,http://commons.wikimedia.org/wiki/Special:FilePath/2011-04-29%20-%20Seodongtan%20Station.jpg
http://www.wikidata.org/entity/Q54318,Stockholm Östra station,http://commons.wikimedia.org/wiki/Special:FilePath/Stockholms%20%C3%B6stra%20vid%20Drottning%20Kristinas%20v%C3%A4g%202005-06-27%20t1.jpg
http://www.wikidata.org/entity/Q54321,Stockholm Södra station,http://commons.wikimedia.org/wiki/Special:FilePath/Stockholms%20S%C3%B6dra%20ing%C3%A5ng.jpg
http://www.wikidata.org/entity/Q54324,Hallsberg railway station,http://commons.wikimedia.org/wiki/Special:FilePath/Hallsberg%20RR.JPG
http://www.wikidata.org/entity/Q54324,Hallsberg railway station,http://commons.wikimedia.org/wiki/Special:FilePath/Hallsbergs%20t%C3%A5gstation%202.jpg
http://www.wikidata.org/entity/Q54328,Gasan Digital Complex Station,http://commons.wikimedia.org/wiki/Special:FilePath/Gasan%20digital%20complex%20station.jpg
http://www.wikidata.org/entity/Q54345,Imjingang Station,http://commons.wikimedia.org/wiki/Special:FilePath/Imjingang%20Station%20file.JPG
http://www.wikidata.org/entity/Q54346,Gajwa Station,http://commons.wikimedia.org/wiki/Special:FilePath/Korail-K315-Gajwa-station-entrance-1-20191021-104842.jpg
http://www.wikidata.org/entity/Q54453,South Station,http://commons.wikimedia.org/wiki/Special:FilePath/SouthStation.agr.JPG
